Neighborhood,Avg_Price
"Lower Brickell",615.44
"Sunrise Harbor",558.30
Shorecrest,442.98
"South Coconut Grove",400.31
"The Roads",309.86
"Brickell Key",287.48
"Upper Brickell",283.62
"Media and Entertainment District",274.69
"Miami Riverwalk",270.48
"Downtown Coral Gables",245.42
"Wynwood Art District",244.88
"Miami Financial District",236.28
"Miami Government District",224.29
"Ocean View Heights",215.95
"Southwest Coconut Grove",206.59
"Design District",206.24
"Coconut Grove",192.74
"Club Row",192.50
Brickell,185.71
"Coral Way",185.25
"Miami Jewelry District",182.33
Wynwood,180.48
"Performing Arts District",175.92
"Little Haiti",175.53
"Miami River",160.35
"MiMo Biscayne Boulevard",156.06
"West Flagler",147.10
Flagami,140.14
"East Little Havana",139.27
"Blue Lagoon",138.74
"West Miami",135.96
"Coral Gate",135.80
"Little River",134.85
"Little Havana",131.96
"Liberty City",130.28
Overtown,124.58
"West Little Havana",121.88
Allapattah,115.58
"Mision Esperanza",114.08
"Model City",99.62
